Added to DB,object_number,title,format,description,subheadline,text,google_drive_link,video_url,sound_url,external_url,production,photographer_credit,date,people,tags,is_featured
,56,Quote,Quote,"""I'm a massive believer in dressing up...""",,"I'm a massive believer in dressing up. Always have been. I think everybody changes the minute they dress up, but you have to make sure that the clothes fit. Teachers need to find things that make people less body conscious. You need big, funny clothes because if you're asking people to lose their inhibitions, the last thing you want them to do is to try and squeeze into trousers that don't fit. 

I always think trying to have a way of making a space dark is good because I think acting, creating and improvising is very exposing. If you can black out the windows and just have torches, that’s great. If you haven't got a lighting rig, you don't need it. You can have electric candles, you can have torches. You can have your iPhones on, you know, whatever you might have to see if you can take the edge off so that people don't feel exposed. I think that's 90% of what I do with actors. 

I take the pressure off actors by playing music underneath what they're doing, which is encouraging them not to use words all the time, to work physically, to take it out of the face and into the body. Think about all the things that make you feel exposed: being yourself, being strongly lit, feeling like you have to fill a silence. Take all those fears away, and people will surprise you. And then once they're discovering things, then you can take away the crutches. 

I think normally people build the other way round: rehearse in raw daylight, and then put the lights down.  Do it the other way around, rehearse in the dark, and then bring the lights up when people know what they're doing. ",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFK0,,,,Miscellaneous,,,Emma Rice,,no
,57,Quote,Quote,"""As soon as you start getting your group to have fun...""",,"As soon as you start getting your group to have fun with what they're doing and play to their strengths, you’re on to a winner because they love what they're doing. What they're doing becomes really funny or engaging and so on. As a director, you can always tailor it into whatever you want. You can dial it down, dial it up…Students often ask “what's the right way of doing this?” and of course, the answer to give is that “YOU are the right way of doing this. Just engage with it and I'll give you some stepping stones to help you do what you do best”.",https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFK4,,,,Miscellaneous,,,Giles King,,no
,58,Quote,Quote,"""Improvisation is really important for storytelling.""",,Improvisation is really important for storytelling.,https://docs.google.com/document/d/13PItpAZpDQlrY-57QOAKxSDJz1ED0vtS0qyz_d9VN9Q/edit?disco=AAACFeLSFLA,,,,Miscellaneous,,,Mike Shepherd,,no
,59,Photograph,Photograph,"Backstage at Dead Dog in a Suitcase, Lyric Hammersmith","""All for one and one for all!"" The last thing the company does before going on stage each night. ",,https://drive.google.com/file/d/1ehFTkWeVrLHaP8quHyJm-eOVCCFOmCRx/view?usp=share_link,,,,Dead Dog in a Suitcase,Steve Tanner,2019,"Patrycja Kuwaska, Rina Fatania",,no
,60,Photograph,Photograph,Dave Mynne mingling with the audience pre-show in The Red Shoes at The Asylum,,,https://drive.google.com/file/d/1bmcljHryWhSgaattTKiqsJ5DYVoXMVU_/view?usp=share_link,,,,The Red Shoes,Steve Tanner,2010,Dave Mynne,,no
,61,Photograph,Photograph,Production image of the site specific A Very Old Man With Enormous Wings at Hayle in Cornwall,,,https://drive.google.com/file/d/1HqOJsYLW8CTuhgLkNa-N2QENtAjbCu70/view?usp=share_link,,,,A Very Old Man With Enormous Wings,Steve Tanner,2005,Sue Hill,,no
,62,Photograph,Photograph,Production image of Windfall featuring Tristan Sturrock,"Windfall was a version of A Very Old Man With Enormous Wings performed outdoors, this version was at the Minack Theatre. ",,https://drive.google.com/file/d/1XsSuq8y5z7HB9IJVtWvIMzvA-pCNjSWk/view?usp=share_link,,,,Windfall,Steve Tanner,,Tristan Sturrock,,no
,63,Photograph,Photograph,"Dead Dog In A Suitcase at The Asylum, production photograph",,,https://drive.google.com/file/d/1fL6NDJEfP3yj-s55C4cZQbwUT1bOvrnM/view?usp=share_link,,,,Dead Dog in a Suitcase,Steve Tanner,,"Sarah Wright, Giles King, Rina Fatania, Patrycja Kuwaska",,no
,64,Photograph,Photograph,"Tristan & Yseult at The Minack Theatre, production photograph",,,https://drive.google.com/file/d/1gX7XVsYpvusN8G3Ultr20uieNVyRLt_Z/view?usp=share_link,,,,Tristan & Yseult,Steve Tanner,2017,Kirsty Woodward,,no
,65,Photograph,Photograph,"The Bacchae at Bristol Old Vic, production photograph ",,,https://drive.google.com/file/d/1svAV0NPjsROBTpdSQx6TCPjt4oFIMiGQ/view?usp=share_link,,,,The Bacchae,Steve Tanner,,"Craig Johnson, Mike Shepherd",,no
,66,Photograph,Photograph,Production image of A Matter of Life & Death at The National's Olivier Theatre.,,,https://drive.google.com/file/d/1PLovK06k9Ic-BvKl-t2ekJgypgFph2Cb/view?usp=share_link,,,,A Matter of Life & Death,Steve Tanner,2007,"Stu Barker, Craig Johnson, Robbi Luckay, Mike Shepherd, Dom Lawton",,no
,67,Photograph,Photograph,Wild Walks at Kennel Vale ,,,https://drive.google.com/file/d/1DL6renKlSIGoH_qRMXSzkeqDmxl_aILm/view?usp=share_link,,,,Wild Walks,Steve Tanner ,,Anna Maria Murphy,,no
,68,Photograph,Photograph,Ghost Nets performed where the Red River meets the sea at Godrevy,,,https://drive.google.com/file/d/1-AO6AGXkItcamU6DObJ5OIsUOrxbwv7p/view?usp=share_link,,,,Ghost Nets,Steve Tanner,,"Bec Applebee, Bill Mitchell",,no
,69,Photograph,Photograph,The Kneehigh Barns (interior),,,https://drive.google.com/file/d/1QYTacEq6uSVYeAeYXrqyfXf55ZYP4_Gy/view?usp=share_link,,,,Miscellaneous,Steve Tanner,,,,no
,70,Photograph,Photograph,The Kneehigh Barns (exterior),,,https://drive.google.com/file/d/14lzcCTc9Llang34VPVMrh9kbK8YTQkm1/view?usp=share_link,,,,Miscellaneous,Steve,,,,no
,71,Photograph,Photograph,Rehearsals for The Tin Drum at the Kneehigh Barns ,,,https://drive.google.com/file/d/1BclMGr5rft7BsXmL40ohKnW8-gzQutW4/view?usp=share_link,,,,The Tin Drum,Steve Tanner,,"Nandi Bhebhe, Mike Shepherd, Dom Lawton, Patrycja Kuwaska, Rina Fatania, Charles Hazlewood, Carl Grose, Malcolm Rippeth",,no
,72,Photograph,Photograph,Barns wall ,,,https://drive.google.com/file/d/1vmDYsTk7SPMkFGDT7oj156etjFMP5nPI/view?usp=sharing,,,,Miscellaneous,Steve Tanner,,,,no
,73,Photograph,Photograph,Vault Beach,,,https://drive.google.com/file/d/1bNOlVz4Cbhv9UuP8aqvRQeec8JL3d-nh/view?usp=share_link,,,,Miscellaneous,Steve Tanner,,,,no
,74,Photograph,Photograph,The company of Don John warming up above Vault Beach,,,https://drive.google.com/file/d/1NAHJ6a7Iwo4287GOmPJmGz4sjhQ0BTLK/view?usp=share_link,,,,Don John,Steve Tanner ,,"Stu Barker, Ian Ross, Dom Lawton, Mary Woodvine, Mike Shepherd, Craig Johnson, Patrycja Kuwaska, Carl Grose",,no
,75,Photograph,Photograph,Run for Your Life at a village hall in Lanner ,,,https://drive.google.com/file/d/14BYpMnpMcugP95FfUdYWdhELrbQvXiQ6/view?usp=share_link,,,,Run For Your Life ,Steve Tanner ,2016,"Anna Maria Murphy, Tom Jackson Greaves",,no
,76,Photograph,Photograph,Production photograph featuring Angela Hardie in The Tin Drum at Liverpool Everyman ,,,https://drive.google.com/file/d/1dqtQm_rlPB1B_MumpWHA9VsaMn4CBcIW/view?usp=share_link,,,,The Tin Drum,Steve Tanner ,2017,,,no
,77,Film,Film,The Church Of The Lost Cause,by Brett Harvey,"Kneehigh created joyful, anarchic and innovative theatre for over 40 years. Such an unconventional company deserves an unconventional film. The Church Of The Lost Cause is less a traditional documentary more like a family photo album or pages from a scrapbook featuring rarely seen footage from the archive.",NA,https://www.youtube.com/watch?v=Jc-MupgqvnQ,,,Miscellaneous,,2025,"Brett Harvey, Bec Applebee, Stu Barker, Nandi Bhebhe, Jim Carey",,no
,78,Extended Trailer,Extended Trailer,Dead Dog in a Suitcase Extended Trailer,Filmed and edited by Brett Harvey,,,https://youtu.be/AiKszdH3FkI,,,Dead Dog in a Suitcase,,,"Steph Curtis, Paul Crewes",,no
,79,Extended Trailer,Extended Trailer,The Wild Bride Extended Trailer,Filmed and edited by Brett Harvey,,,https://youtu.be/F3fHVpuD9m4,,,The Wild Bride,,,,,no
,80,Trailer,Trailer,King Of Prussia Clip,Filmed by Robin Kewell and edited by Brett Harvey,,,https://youtu.be/66-W-4Fb9t4,,,The King of Prussia,,,,,no
,81,Extended Trailer,Extended Trailer,Tregeagle Extended Trailer,Filmed by Robin Kewell and edited by Brett Harvey,,,https://youtu.be/z3nEqd9ZU6g,,,Tregeagle,,,,,no
,82,Film,Film,Kneehigh Outdoors,Filmed by Robin Kewell and edited by Brett Harvey,,,https://youtu.be/lNmcHrfI5ZM,,,Miscellaneous,,,,,no
,83,Extended Trailer,Extended Trailer,Ubu Extended Trailer,Filmed and edited by Brett Harvey,,,https://youtu.be/kH3Goz-sY-s,,,Ubu,,,,,no
,84,Extended Trailer,Extended Trailer,Red Shoes Extended Trailer,Filmed by Robin Kewell and edited by Brett Harvey,,,https://youtu.be/hmUgrJrTh5Q,,,The Red Shoes,,,,,no
,85,Full show documentation,Full show documentation,Dead Dog In A Suitcase Full Show,Filmed and edited by Brett Harvey,,,https://youtu.be/YEYkAIbDkzA,,,Dead Dog in a Suitcase,,,,,no
,86,Full show documentation,Full show documentation,Tristan and Yseult Full Show,Filmed and edited by Brett Harvey,,,https://youtu.be/ELHgQ2-U3Q0,,,Tristan & Yseult,,,,,no
,87,Full show documentation,Full show documentation,The Red Shoes Full Show,Filmed by Robin Kewell and edited by Ken Mizutani,,,https://youtu.be/zCfR-P5oRcA,,,The Red Shoes,,,,,no
,88,Extended Trailer,Extended Trailer,Tristan & Yseult Extended Trailer,Filmed and edited by Brett Harvey,,,,,,Tristan & Yseult,,,,,no
,89,Extended Trailer,Extended Trailer,Kneehigh Highlights Reel,Edited by Brett Harvey,,,https://youtu.be/1ytTtaY6pxI,,,Miscellaneous,,,,,no
,105,Film,Film,"Random Acts of Art - Showcase Film 
",By Neal Megaw,,,https://www.youtube.com/watch?v=mI697Z9259c,,,Random Acts of Art,,,,,no
,114,Photograph,Photograph,Chorus in The Red Shoes,,,https://drive.google.com/file/d/17KPULcHcNdehvpXoROhLrZSOX2Z_59O8/view?usp=sharing,,,,The Red Shoes,Steve Tanner,,"Patrycja Kuwaska, Dave Mynne, Mike Shepherd, Robbi Luckay, Giles King",,no
,115,Photograph,Photograph,Production image from Ubu! ,,,https://drive.google.com/file/d/1A6JqJTOwlAqSCB9oI52Fq6-Gqb-h7z6K/view?usp=share_link,,,,Ubu,Steve Tanner,,"Katy Owen, Mike Shepherd",,no
,116,Photograph,Photograph,Production image from Pandora's Box,,,https://drive.google.com/file/d/1m9S9g0Mj4hBKJWfBwdkGAm8DuDmDoyBa/view?usp=share_link,,,,Pandora’s Box,Steve Tanner,,"Emma Rice, Carl Grose, Bec Applebee, Mike Shepherd",,no
,117,Photograph,Photograph,Production image from Journey to the Centre of the Earth,,,https://drive.google.com/file/d/1A4UrdU3fQPuOr9rZqriaIgliECrKMlvm/view?usp=share_link,,,,Journey to the Centre of the Earth,Steve Tanner,,Simon Harvey,,no
,118,Photograph,Photograph,Production image from Wild Jam,,,https://drive.google.com/file/d/1MI6uSf-VTtvDlffmmbqWHgN8mXGbdiHc/view?usp=share_link,,,,Wild Jam,Steve Tanner ,,"Giles King, Craig Johnson, Emma Rice",,no
,119,Photograph,Photograph,"Pre-show publicity image for The Red Shoes featuring the Chorus in Lamledra near the Kneehigh Barns (Luis Santiago, Bec Applebee, Mike Shepherd, Giles King and John Surman)",,,https://drive.google.com/file/d/1wamd3Fs644z-dPgaXVrvsQyRAMdiB1el/view?usp=share_link,,,,The Red Shoes,Steve Tanner ,,"Mike Shepherd, Bec Applebee, Giles King",,no
,120,Photograph,Photograph,Publicity image for Blast!,,,https://drive.google.com/file/d/17FfOwRaGtOOar5ZMColoUvusUj3nCzcJ/view?usp=share_link,,,,Blast!,Steve Tanner ,,"Kirsty Woodward, Carl Grose, Craig Johnson",,no
,121,Photograph,Photograph,Production image from Blast! at Polytechnic Arts Falmouth,,,https://drive.google.com/file/d/123dT962ucdydN3MqW-hKj3AFT5jy0vLS/view?usp=share_link,,,,Blast!,Steve Tanner ,,Carl Grose,,no
,122,Photograph,Photograph,Production image from Dead Dog in a Suitcase featuring Bev Rudd animating glove puppets made by Lyndie Wright,,,https://drive.google.com/file/d/1t-ZiKotJjTYek_sfjenvUoY06qZUcOS2/view?usp=share_link,,,,Dead Dog in a Suitcase,Steve Tanner,,,,no
,123,Photograph,Photograph,Production image from Dead Dog in a Suitcase featuring baby puppets made by Lyndie Wright,,,https://drive.google.com/file/d/16MiCq0gBzSnu-lue8fSX0aOk8ztaCkKH/view?usp=share_link,,,,Dead Dog in a Suitcase,Steve Tanner,,Patrycja Kuwaska,,no
,124,Photograph,Photograph,"Production image from The Wild Bride, featuring Audrey Brisson, Patrycja Kujawska and Eva Magyar all of whom play the Wild Bride at different stages of her life",,,https://drive.google.com/file/d/1iWtW_draMj0C59emJddIkA2xczH7g_P_/view?usp=share_link,,,,The Wild Bride,Steve Tanner ,,Patrycja Kuwaska,,no
,125,Photograph,Photograph,"Production image from 946: The Amazing Story of Adolphus Tips at The Asylum, featuring Ncuti Gatwa, Adebayo Bolaji, Patrycja Kujawska, Kyla Goodey, Andrew Durrant, Mike Shepherd, Nandi Bhebhe, Katy Owen and Ian Ross.",,,https://drive.google.com/file/d/1NFn_3GPkpHxQJkfiTF9GaW1VsPiNdMg7/view?usp=share_link,,,,946: The Amazing Story of Adolphus Tips,Steve Tanner,2015,"Mike Shepherd, Nandi Bhebhe, Patrycja Kuwaska, Kyla Goodey, Katy Owen, Ian Ross",,no
,126,Photograph,Photograph,Production image from The Red Shoes ,,,https://drive.google.com/file/d/1j6vb6fcA_lRjhddRZmlEjgCSuVZimf7A/view?usp=sharing,,,,The Red Shoes,Steve Tanner ,,Giles King,,no
,127,Photograph,Photograph,"Production image from the site specific production of Roger Salmon: Cornish Detective at Geevor Mine in West Penwith, Cornwall","Featuring Steve Jacobs, Alex Murdoch, Lou King, Giles King, Mike Shepherd and volunteers from the local community",,https://drive.google.com/file/d/11py0HiW6q6SfP5ilRUX_tDx4iGhCyUE9/view?usp=share_link,,,,Roger Salmon: Cornish Detective (The Case of the Uncertain Woman),Steve Tanner,2001,"Mike Shepherd, Giles King",,no
,128,Photograph,Photograph,Production image from A Matter of Life and Death on the Olivier stage at The National Theatre,"featuring Lyndsey Marshal, Andy Williams, Robbi Luckay, Gísli Garðarsson and the chorus of nurses",,https://drive.google.com/file/d/104J9cReM4F7i5cK8IepMRh8Gsz3KG_ET/view?usp=share_link,,,,A Matter of Life & Death,Steve Tanner,,Tristan Sturrock,,no
,129,Photograph,Photograph,Production image from 946: The Amazing Story of Adolphus Tips featuring Tips the cat made by Lyndie Wright and the character Lily Tregenza played by Katy Owen ,,,https://drive.google.com/file/d/19HejblALcu0OTJveQjfxgqqx--QTyioN/view?usp=share_link,,,,946: The Amazing Story of Adolphus Tips,Steve Tanner,,Katy Owen,,no
,130,Photograph,Photograph,Production image from The Tin Drum featuring the main character Oskar who is puppeteered by Sarah Wright and made by Lyndie Wright,,,https://drive.google.com/file/d/1qRrvaZqnxl5SKHvdld9vyy4sye8rgnx1/view?usp=share_link,,,,The Tin Drum,Steve Tanner,,Sarah Wright,,no
,131,Photograph,Photograph,Production image from Brief Encounter at the Birmingham Rep featuring Naomi Frederick as Laura,,,https://drive.google.com/file/d/1-L2XsiU_IMTCkDWvAy41CKvMGVoRBpKm/view?usp=sharing,,,,The Tin Drum,Steve Tanner,,,,no
,132,Photograph,Photograph,"Production image from Ubu at The Asylum, featuring the boat that Ma and Pa Ubu set off in to invade another country",,,https://drive.google.com/file/d/1kyz90S2Z6w1ON1ZlR9_5mQcwI95K1xPz/view?usp=share_link,,,,Ubu,Steve Tanner,2019,"Katy Owen, Mike Shepherd",,no
,133,Photograph,Photograph,"Production image from Ubu at The Asylum, featuring the transformation of the boat into wings",,,https://drive.google.com/file/d/1fk9MbT1D1hZ02A99nb66YfKq1ldsndkw/view?usp=share_link,,,,Ubu,Steve Tanner,2019,Katy Owen,,no
,134,Photograph,Photograph,"A staged image for Tristan & Yseult, featuring The Club of the Unloved, a chorus played by James Traherne, Mike Shepherd, Ian Ross, Craig Johnson, Simon Harvey",Photographed at Bristol Old Vic Theatre,,https://drive.google.com/file/d/1DoEUd4vonWkV6Vq8_swbnLgKWRerzdJj/view?usp=share_link,,,,Tristan & Yseult,Steve Tanner,2005,"Mike Shepherd, Ian Ross, Giles King, Craig Johnson, Simon Harvey",,no
,135,Photograph,Photograph,Production image of Tristan & Yseult outdoors at Restormel Castle,,,https://drive.google.com/file/d/1xIeWnuTTdmjP2J0caot7ZIOkSKMW0tpP/view?usp=share_link,,,,Tristan & Yseult,Steve Tanner,2003,"Mike Shepherd, Tristan Sturrock, Emma Rice, Craig Johnson, Giles King",,no
,136,Photograph,Photograph,Production image of Tristan & Yseult indoors at The National's Cottesloe Theatre,,,https://drive.google.com/file/d/1QR7cCJvHPZvl5O5sDFH6LA9pxMzBkCEl/view?usp=share_link,,,,Tristan & Yseult,Steve Tanner,,"Mike Shepherd, Giles King, Tristan Sturrock",,no
,137,Photograph,Photograph,Performer Kyla Goodey amongst the audience in 946: The Amazing Story of Adolphus Tips,,,https://drive.google.com/file/d/1-q6Gb_M61bXv3BSvApA5LfLm_fjMftPf/view?usp=share_link,,,,946: The Amazing Story of Adolphus Tips,Steve Tanner,,Kyla Goodey,,no
,138,Photograph,Photograph,Production image from an outdoor performance Cymbeline at Restormel Castle,Cymbeline was originally made for Michael Boyd at the Royal Shakespeare Company and opened in The Swan Theatre. It then toured nationally and internationally to Columbia and Brazil. ,,https://drive.google.com/file/d/1D7rh7nUixUZBZSO-UDtQ6CgRIBNVtzBS/view?usp=share_link,,,,Cymbeline,Steve Tanner,,"Carl Grose, Mike Shepherd",,no
,139,Photograph,Photograph,Production image from an outdoor performance Cymbeline at Restormel Castle,Cymbeline was originally made for Michael Boyd at the Royal Shakespeare Company and opened in The Swan Theatre. It then toured nationally and internationally to Columbia and Brazil. ,,https://drive.google.com/file/d/15lKRY-s3Pyb1gOJuIttJG5We_Pwj8LaK/view?usp=share_link,,,,Cymbeline,Steve Tanner,,,,no
,140,Photograph,Photograph,Production image from Midnight's Pumpkin featuring actor Audrey Brisson with lighting design by Malcolm Rippeth,,,https://drive.google.com/file/d/1ExkdkNtCHeE5FNnseLK-Go8uV5kPEGob/view?usp=share_link,,,,Midnight’s Pumpkin,Steve Tanner,,Malcolm Rippeth,,no
,141,Photograph,Photograph,Production image from Dead Dog in a Suitcase featuring actor Beverly Rudd with lighting design by Malcolm Rippeth,,,https://drive.google.com/file/d/1bDsQs68uxJTk_S8FazFTvDfnUvL6gDck/view?usp=share_link,,,,Dead Dog in a Suitcase,Steve Tanner,,Malcolm Rippeth,,no
,142,Photograph,Photograph,Production image from The Wild Bride featuring actor Stuart McLoughlin in the tree of light bulbs with lighting design by Malcolm Rippeth,,,https://drive.google.com/file/d/1qlOsw-iTYGbJKwHD1BTvwvbYin_-tFOw/view?usp=share_link,,,,The Wild Bride,Steve Tanner,,Malcolm Rippeth,,no
,143,Photograph,Photograph,"Production image from The Flying Lovers of Vitesbsk featuring Marc Antolin and Audrey Brisson in shadow, with lighting design by Malcolm Rippeth",,,https://drive.google.com/file/d/1epbxK33rmzRdtF1imUmb-cLUolUG8bm2/view?usp=share_link,,,,The Flying Lovers of Vitebsk,Steve Tanner,,Malcolm Rippeth,,no
,144,Photograph,Photograph,"Production image from Rapunzel at the Battersea Arts Centre, featuring Paul Hunter, Mike Shepherd, Edith Tankus, Pieter Lawman",,,https://drive.google.com/file/d/1an5PCrK2lIuH6tpVQ6GaM7S-tdj5j6yH/view?usp=share_link,,,,Rapunzel,Steve Tanner,,Mike Shepherd,,no
,145,Photograph,Photograph,Rehearsals for 946: The Amazing Story of Adolphus Tips in the music room at the Kneehigh Barns,,,https://drive.google.com/file/d/1hXFgyIfoCLLmjrn3h1fVVLNkU2bn2D0q/view?usp=share_link,,,,946: The Amazing Story of Adolphus Tips,Steve Tanner ,,"Patrycja Kuwaska, Stu Barker, Mike Shepherd, Emma Rice, Giles King, Katy Owen, Anna Maria Murphy, Ian Ross, Simon Harvey, Craig Johnson",,no
,146,Photograph,Photograph,Production image from Tregeagle at the Minack Theatre with Simon Edwards as Tregeagle and Mike Shepherd as the devil with his chorus of demons,,,https://drive.google.com/file/d/1q37QR2Zv5gnjf6s16FelDCR5MhxQ7z5e/view?usp=share_link,,,,Tregeagle,Steve Tanner ,1996,"Mike Shepherd, Bill Mitchell",,no
,147,Photograph,Photograph,"Production image from Tregeagle at the Minack Theatre, featuring Will Coleman ",,,https://drive.google.com/file/d/1SOKlORMcyxeLcxgTVpQXID4KPbYjH3gQ/view?usp=share_link,,,,Tregeagle,Steve Tanner ,1996,Bill Mitchell,,no
,148,Photograph,Photograph,Production image from Tregeagle at the Minack Theatre,,,https://drive.google.com/file/d/1eRD2Tz75BJPR8L4tGn1-JuYiOYRzlqgX/view?usp=share_link,,,,Tregeagle,Steve Tanner ,1996,"Mike Shepherd, Bill Mitchell",,no
,149,Photograph,Photograph,Production image from Tregeagle at the Minack Theatre,,,https://drive.google.com/file/d/1nB8MhWKiX1iDAfvlSWxFTJ4X1SH1m2UN/view?usp=share_link,,,,Tregeagle,Steve Tanner ,1996,"Mike Shepherd, Bill Mitchell",,no
,150,Photograph,Photograph,"Production image from Tregeagle performed in Carn Marth Quarry, featuring Simon Edwards as Tregeagle, Mike Shepherd as the Devil and Giles King as a Demon",,,https://drive.google.com/file/d/1uk-5DajKHXgrAJfoczXL42vm5FFWf3AX/view?usp=share_link,,,,Tregeagle,Steve Tanner ,1996,"Bill Mitchell, Mike Shepherd",,no
,151,Photograph,Photograph,Production image from Tregeagle featuring Mike Shepherd as The Devil,,,https://drive.google.com/file/d/1dGIV0B5TzuUckGQXsWOUjtbXhF38mLkB/view?usp=share_link,,,,Tregeagle,Steve Tanner ,1996,"Bill Mitchell, Mike Shepherd",,no
,152,Photograph,Photograph,"Production image from an 'unplugged' version of The King of Prussia for The Asylum's inaugural season in 2010. Image features Charlie Barnecut as John Knill, the customs officer",,,https://drive.google.com/file/d/1x6pLHyjuOsWOr4IZMnidIGiroRGIUA4s/view?usp=share_link,,,,The King of Prussia,Steve Tanner ,2010,,,no
,153,Photograph,Photograph,Production image from an 'unplugged' version of The King of Prussia for The Asylum's inaugural season in 2010. ,,,https://drive.google.com/file/d/1C2DJJ8DlXCT2gL8fI5UogGii_ThIYglS/view?usp=share_link,,,,The King of Prussia,Steve Tanner ,2010,"Mary Woodvine, Bec Applebee, Mike Shepherd, Carl Grose",,no
,154,Photograph,Photograph,"Production image from an 'unplugged' version of The King of Prussia for The Asylum's inaugural season in 2010. Image features Charlie Barnecut as John Knill, the customs officer",,,https://drive.google.com/file/d/1ZRsIgItmkyhmm6QlmvBHzUXLN_Sy7hwe/view?usp=share_link,,,,The King of Prussia,Steve Tanner ,2010,,,no
,155,Photograph,Photograph,"Production image from an 'unplugged' version of The King of Prussia for The Asylum's inaugural season in 2010. Image features Charlie Barnecut as John Knill the customs officer, Mike Shepherd as the King of Prussia, with projections by Mark Jenkins",,,https://drive.google.com/file/d/17e84h0joFEt40d1myQIu2A5cYMRkhF4B/view?usp=share_link,,,,The King of Prussia,Steve Tanner ,2010,Mike Shepherd,,no
,156,Photograph,Photograph,"Production image from an 'unplugged' version of The King of Prussia for The Asylum's inaugural season in 2010. Image features Mike Shepherd, Bec Applebee and Simon Harvey with projections by Mark Jenkins",,, https://drive.google.com/file/d/1-SesNOXKF9aU57tU_O6DEA40cbiC4Tdt/view?usp=share_link,,,,The King of Prussia,Steve Tanner ,2010,"Mike Shepherd, Bec Applebee, Simon Harvey",,no
,157,Photograph,Photograph,"Production image from an 'unplugged' version of The King of Prussia for The Asylum's inaugural season in 2010. Image features Charlie Barnecut, Bec Applebee and Carl Grose with projections by Mark Jenkins, lighting design by Malcolm Rippeth and original stage design by Bill Mitchell",,,https://drive.google.com/file/d/1MgUi8hrR0SsooS5VHvijk12lTduJCawq/view?usp=share_link,,,,The King of Prussia,Steve Tanner ,2010,"Bec Applebee, Malcolm Rippeth, Carl Grose, Bill Mitchell",,no
,158,Photograph,Photograph,"Production image from A Very Old Man With Enormous Wings, The Three Islands Project (Cornwall, Malta and Cyprus)",,,https://drive.google.com/file/d/1bS6hnFteHjlkhTSu_TTFYFYAgY4ynBVq/view?usp=sharing,,,,A Very Old Man With Enormous Wings,Steve Tanner ,,Bill Mitchell,,no
,159,Photograph,Photograph,"Production image from A Very Old Man With Enormous Wings, The Three Islands Project (Cornwall, Malta and Cyprus)",,,https://drive.google.com/file/d/1Sm5AtmYvw1dCqegOFCTd8kD9ZPcKW_Ts/view?usp=share_link,,,,A Very Old Man With Enormous Wings,Steve Tanner ,,"Sue Hill, Bill Mitchell",,no
,160,Photograph,Photograph,"Production image from A Very Old Man With Enormous Wings, The Three Islands Project (Cornwall, Malta and Cyprus)",,,https://drive.google.com/file/d/1wq1szZHx0FfXyu2nO3XhIc-OAQm3K9PL/view?usp=share_link,,,,A Very Old Man With Enormous Wings,Steve Tanner ,,Bill Mitchell,,no
,161,Photograph,Photograph,"Production image from The Bacchae at The Leeds Playhouse (then known as the West Yorkshire Playhouse), featuring the chorus Charlie Barnecut, Craig Johnson, Dan Canham, Mike Shepherd and Andy Brodie",,,https://drive.google.com/file/d/1sDIEaAYxDpsQHLccNKDQnQld8PrEsU38/view?usp=share_link,,,,The Bacchae,Steve Tanner ,,"Mike Shepherd, Craig Johnson",,no
,162,Photograph,Photograph,"Production image from The Red Shoes at The Asylum, featuring Dave Mynne as The Old Lady",,,https://drive.google.com/file/d/1rR0hahmLb5tfmCrpdFXZyRngpugmpQsz/view?usp=share_link,,,,The Red Shoes,Steve Tanner ,2010,Dave Mynne,,no
,163,Photograph,Photograph,Production image from Pandora's Box,,,https://drive.google.com/file/d/1c9we7iyY2JrwPQ_I4-OKDUWvT-LlOCto/view?usp=share_link,,,,Pandora’s Box,Steve Tanner ,,"Emma Rice, Carl Grose, Bec Applebee",,no
,164,Photograph,Photograph,Production image from The Red Shoes featuring Bec Applebee and John Surman,,,https://drive.google.com/file/d/1OOVbtA7S4tJY4hMHjXy4vxnmwohFqQHP/view?usp=share_link,,,,The Red Shoes,Steve Tanner ,,Bec Applebee,,no
,165,Photograph,Photograph,Production image from The Red Shoes at Warwick Arts Centre,,,https://drive.google.com/file/d/1M1qLmiRmjbzKlnzHdfZAPx4wNoBfqx9R/view?usp=sharing,,,,The Red Shoes,Steve Tanner ,2010,"Mike Shepherd, Giles King, Bec Applebee",,no
,166,Photograph,Photograph,Production image from The Red Shoes at The Asylum,,,https://drive.google.com/file/d/1hxqMjpxBkd-plnDSUyaUAmeyeV3eZ81-/view?usp=sharing,,,,The Red Shoes,Steve Tanner ,2010,Patrycja Kuwaska,,no
,167,Photograph,Photograph,Production image from Tristran & Yseult featuring Eva Magyar as Yseult,,,https://drive.google.com/file/d/1VL88DUvZlJyYkZnonijJKUAVyEGr8Phu/view?usp=share_link,,,,Tristan & Yseult,Steve Tanner ,,,,no
,168,Photograph,Photograph,Production image from Tristran & Yseult at Restormel Castle,"Kneehigh's outdoor shows often started in daylight and played as the sun set. The storytelling started with a direct connection to the audience... as dusk fell and the witching hour approached, the emotional storytelling deepened. ",,https://drive.google.com/file/d/1P-fduzBIxPJnfnhQ_pnLq-cubnGvwayU/view?usp=sharing,,,,Tristan & Yseult,Steve Tanner ,,"Tristan Sturrock, Emma Rice",,no
